filename, ra, dec
sample/sdsslcutout_149.00575+0.3580208_rband.fits, 149.00575, 0.3580208
sample/sdsslcutout_149.37022+0.58818424_rband.fits, 149.37022, 0.58818424
sample/sdsslcutout_149.91553+0.5410566_rband.fits, 149.91553, 0.5410566
sample/sdsslcutout_150.10153+0.704594_rband.fits, 150.10153, 0.704594
sample/sdsslcutout_150.13205+0.5489786_rband.fits, 150.13205, 0.5489786
sample/sdsslcutout_150.08476+0.50597453_rband.fits, 150.08476, 0.50597453
sample/sdsslcutout_150.24075+0.37595347_rband.fits, 150.24075, 0.37595347
sample/sdsslcutout_150.29836+0.22565207_rband.fits, 150.29836, 0.22565207
sample/sdsslcutout_150.29948+0.3293208_rband.fits, 150.29948, 0.3293208
sample/sdsslcutout_150.03499+0.9847942_rband.fits, 150.03499, 0.9847942
sample/sdsslcutout_150.37373+0.2571673_rband.fits, 150.37373, 0.2571673
sample/sdsslcutout_151.5174-0.8142245_rband.fits, 151.5174, -0.8142245
sample/sdsslcutout_151.46758-0.8132589_rband.fits, 151.46758, -0.8132589
sample/sdsslcutout_151.97043-0.1537362_rband.fits, 151.97043, -0.1537362
sample/sdsslcutout_150.91177-0.86714333_rband.fits, 150.91177, -0.86714333
sample/sdsslcutout_150.62006+0.3332387_rband.fits, 150.62006, 0.3332387
sample/sdsslcutout_150.59395+0.55864537_rband.fits, 150.59395, 0.55864537
sample/sdsslcutout_150.69089+0.53051484_rband.fits, 150.69089, 0.53051484
sample/sdsslcutout_150.62846+0.30728894_rband.fits, 150.62846, 0.30728894
sample/sdsslcutout_150.51703+0.6875303_rband.fits, 150.51703, 0.6875303
sample/sdsslcutout_150.77794+0.3203997_rband.fits, 150.77794, 0.3203997
sample/sdsslcutout_150.77585+0.45410728_rband.fits, 150.77585, 0.45410728
sample/sdsslcutout_151.0909+0.53420174_rband.fits, 151.0909, 0.53420174
sample/sdsslcutout_151.17015+0.3699004_rband.fits, 151.17015, 0.3699004
sample/sdsslcutout_150.98447+0.81661236_rband.fits, 150.98447, 0.81661236
sample/sdsslcutout_151.08344+0.47663763_rband.fits, 151.08344, 0.47663763
sample/sdsslcutout_151.05978+0.50810176_rband.fits, 151.05978, 0.50810176
sample/sdsslcutout_151.11288+0.5240058_rband.fits, 151.11288, 0.5240058
sample/sdsslcutout_150.97826+0.5826932_rband.fits, 150.97826, 0.5826932
sample/sdsslcutout_151.35034+0.543928_rband.fits, 151.35034, 0.543928
sample/sdsslcutout_151.38289+0.6110543_rband.fits, 151.38289, 0.6110543
sample/sdsslcutout_151.30742+0.4750305_rband.fits, 151.30742, 0.4750305
sample/sdsslcutout_151.4611+0.6318041_rband.fits, 151.4611, 0.6318041
sample/sdsslcutout_151.12396+0.6889323_rband.fits, 151.12396, 0.6889323
sample/sdsslcutout_151.89223+0.2772472_rband.fits, 151.89223, 0.2772472
sample/sdsslcutout_151.98505+0.2721735_rband.fits, 151.98505, 0.2721735
sample/sdsslcutout_153.53958-0.8984238_rband.fits, 153.53958, -0.8984238
sample/sdsslcutout_153.60709-0.87185854_rband.fits, 153.60709, -0.87185854
sample/sdsslcutout_153.62341-0.807193_rband.fits, 153.62341, -0.807193
sample/sdsslcutout_153.48195-0.8861926_rband.fits, 153.48195, -0.8861926
sample/sdsslcutout_153.69121-0.3393402_rband.fits, 153.69121, -0.3393402
sample/sdsslcutout_153.37927-0.9468959_rband.fits, 153.37927, -0.9468959
sample/sdsslcutout_153.38243-0.99874604_rband.fits, 153.38243, -0.99874604
sample/sdsslcutout_153.44508-0.914217_rband.fits, 153.44508, -0.914217
sample/sdsslcutout_153.70053-0.76444715_rband.fits, 153.70053, -0.76444715
sample/sdsslcutout_153.34833-0.8927703_rband.fits, 153.34833, -0.8927703
sample/sdsslcutout_153.37033-0.9230767_rband.fits, 153.37033, -0.9230767
sample/sdsslcutout_153.31006-0.7781707_rband.fits, 153.31006, -0.7781707
sample/sdsslcutout_153.35197-0.8427021_rband.fits, 153.35197, -0.8427021
sample/sdsslcutout_153.3708-0.8923842_rband.fits, 153.3708, -0.8923842
sample/sdsslcutout_153.357-0.90982735_rband.fits, 153.357, -0.90982735
sample/sdsslcutout_153.4002-0.6236673_rband.fits, 153.4002, -0.6236673
sample/sdsslcutout_152.74167-0.5028306_rband.fits, 152.74167, -0.5028306
sample/sdsslcutout_152.71324-0.6451311_rband.fits, 152.71324, -0.6451311
sample/sdsslcutout_152.37688-0.33388814_rband.fits, 152.37688, -0.33388814
sample/sdsslcutout_152.19923-0.2698308_rband.fits, 152.19923, -0.2698308
sample/sdsslcutout_152.58469+0.9583205_rband.fits, 152.58469, 0.9583205
sample/sdsslcutout_154.63553-0.9923241_rband.fits, 154.63553, -0.9923241
sample/sdsslcutout_154.47414-0.6148055_rband.fits, 154.47414, -0.6148055
sample/sdsslcutout_154.36276-0.49559152_rband.fits, 154.36276, -0.49559152
sample/sdsslcutout_153.66484-0.83091_rband.fits, 153.66484, -0.83091
sample/sdsslcutout_153.5098-0.8916616_rband.fits, 153.5098, -0.8916616
sample/sdsslcutout_153.47269-0.87664086_rband.fits, 153.47269, -0.87664086
sample/sdsslcutout_153.64284-0.83699536_rband.fits, 153.64284, -0.83699536
sample/sdsslcutout_153.93947+0.27631265_rband.fits, 153.93947, 0.27631265
sample/sdsslcutout_154.50652+0.1416311_rband.fits, 154.50652, 0.1416311
sample/sdsslcutout_154.52779+0.09994892_rband.fits, 154.52779, 0.09994892
sample/sdsslcutout_154.82298+0.34444255_rband.fits, 154.82298, 0.34444255
